Village/Locality name,Officename ( BO/SO/HO),Pincode,Sub-distname,Districtname,StateName
Parrys,Chennai G.P.O.,600001,Fort - Tondiarpet,CHENNAI,TAMIL NADU
Chennai,Anna Road H.O,600002,Egmore - Nungambakkam,CHENNAI,TAMIL NADU
Parrys,Park Town H.O,600003,Fort - Tondiarpet,CHENNAI,TAMIL NADU
Mylapore,Mylapore H.O,600004,Mylapore - Triplicane,CHENNAI,TAMIL NADU
Tiruvallikkeni,Tiruvallikkeni S.O,600005,Mylapore - Triplicane,CHENNAI,TAMIL NADU
NUNGAMBAKKAM,Greams Road S.O,600006,Egmore - Nungambakkam,CHENNAI,TAMIL NADU
Vyasarpadi,Vepery S.O,600007,Fort - Tondiarpet,CHENNAI,TAMIL NADU
Egmore,Egmore S.O,600008,Egmore - Nungambakkam,CHENNAI,TAMIL NADU
Fort St George,Fort St George S.O,600009,Fort - Tondiarpet,CHENNAI,TAMIL NADU
Kilpauk,Kilpauk S.O,600010,Perambur - Purasawakkam,CHENNAI,TAMIL NADU
Perambur,Perambur S.O,600011,Perambur - Purasawakkam,CHENNAI,TAMIL NADU
Perambur Barracks,Perambur Barracks S.O,600012,Perambur - Purasawakkam,CHENNAI,TAMIL NADU
Royapuram,Rayapuram S.O,600013,Fort - Tondiarpet,CHENNAI,TAMIL NADU
Royapettah,Royapettah S.O,600014,Mylapore - Triplicane,CHENNAI,TAMIL NADU
Saidapet,Saidapet S.O (Chennai),600015,Mambalam - Guindy,CHENNAI,TAMIL NADU
Thyagaraya Nagar,Thygarayanagar H.O,600017,Mambalam - Guindy,CHENNAI,TAMIL NADU
Teynampet,Teynampet S.O,600018,Mylapore - Triplicane,CHENNAI,TAMIL NADU
Besant Nagar,Adyar S.O (Chennai),600020,Mylapore - Triplicane,CHENNAI,TAMIL NADU
Washermanpet,Washermanpet S.O,600021,Fort - Tondiarpet,CHENNAI,TAMIL NADU
Raj Bhavan,Rajbhavan S.O (Chennai),600022,Mambalam - Guindy,CHENNAI,TAMIL NADU
Ayanavaram,Aynavaram S.O,600023,Perambur - Purasawakkam,CHENNAI,TAMIL NADU
Kodambakkam,Kodambakkam S.O,600024,Mambalam - Guindy,CHENNAI,TAMIL NADU
"Engineering College, Guindy",Engineering College S.O (Chennai),600025,Mambalam - Guindy,CHENNAI,TAMIL NADU
Vadapalani,Vadapalani S.O,600026,Mambalam - Guindy,CHENNAI,TAMIL NADU
Raja Annamalaipuram,Raja Annamalaipuram S.O,600028,Mylapore - Triplicane,CHENNAI,TAMIL NADU
Aminjikarai,Aminjikarai S.O,600030,Egmore - Nungambakkam,CHENNAI,TAMIL NADU
Shenoy Nagar,Shenoy Nagar S.O,600030,Egmore - Nungambakkam,CHENNAI,TAMIL NADU
Chetpet,Chetput S.O,600031,Egmore - Nungambakkam,CHENNAI,TAMIL NADU
Guindy,Guindy Industrial Estate S.O,600032,Mambalam - Guindy,CHENNAI,TAMIL NADU
West Mambalam,West Mambalam S.O,600033,Mambalam - Guindy,CHENNAI,TAMIL NADU
NUNGAMBAKKAM,Nungambakkam S.O,600034,Egmore - Nungambakkam,CHENNAI,TAMIL NADU
Nandanam,Nandanam S.O,600035,Mambalam - Guindy,CHENNAI,TAMIL NADU
Indian Institute of Technology Madras,Indian Institute Of Technology S.O,600036,Mambalam - Guindy,CHENNAI,TAMIL NADU
ICF Colony,Icf Colony S.O,600038,Perambur - Purasawakkam,CHENNAI,TAMIL NADU
Vyasarpadi,Vyasarpadi S.O,600039,Fort - Tondiarpet,CHENNAI,TAMIL NADU
Anna Nagar,Anna Nagar S.O (Chennai),600040,Egmore - Nungambakkam,CHENNAI,TAMIL NADU
Tiruvanmiyur,Tiruvanmiyur S.O,600041,Mylapore - Triplicane,CHENNAI,TAMIL NADU
Velachery,Velacheri S.O,600042,Mambalam - Guindy,CHENNAI,TAMIL NADU
Taramani,Velacheri S.O,600042,Mambalam - Guindy,CHENNAI,TAMIL NADU
Kalaignar Karunanidhi Nagar,Kalaignar Karunanidhi Nagar S.O,600078,Mambalam - Guindy,CHENNAI,TAMIL NADU
Tondiarpet,Tondiarpet S.O,600081,Fort - Tondiarpet,CHENNAI,TAMIL NADU
Jawahar Nagar,Jawahar Nagar S.O (Chennai),600082,Perambur - Purasawakkam,CHENNAI,TAMIL NADU
Ashok Nagar,Ashoknagar S.O (Chennai),600083,Mambalam - Guindy,CHENNAI,TAMIL NADU
Purasawalkam,Flowers Road S.O,600084,Perambur - Purasawakkam,CHENNAI,TAMIL NADU
Kotturpuram,Kotturpuram S.O,600085,Mylapore - Triplicane,CHENNAI,TAMIL NADU
Gopalapuram,Gopalapuram S.O (Chennai),600086,Mylapore - Triplicane,CHENNAI,TAMIL NADU
Besant Nagar,Besantnagar S.O,600090,Mylapore - Triplicane,CHENNAI,TAMIL NADU
Virugambakkam,Virugambakkam S.O,600092,Mambalam - Guindy,CHENNAI,TAMIL NADU
Saligramam,Saligramam S.O,600093,Mambalam - Guindy,CHENNAI,TAMIL NADU
NUNGAMBAKKAM,Choolaimedu S.O,600094,Egmore - Nungambakkam,CHENNAI,TAMIL NADU
Anna Nagar west,Anna Nagar Western Extn S.O,600101,Egmore - Nungambakkam,CHENNAI,TAMIL NADU
Anna Nagar,Anna Nagar East S.O,600102,Egmore - Nungambakkam,CHENNAI,TAMIL NADU
High Court of Madras,High Court Building S.O (Chennai),600104,Fort - Tondiarpet,CHENNAI,TAMIL NADU
Chennai,Arumbakkam S.O,600106,Egmore - Nungambakkam,CHENNAI,TAMIL NADU
Koyambedu,Koyambedu S.O,600107,Egmore - Nungambakkam,CHENNAI,TAMIL NADU
Taramani,TTTI Taramani S.O,600113,Mambalam - Guindy,CHENNAI,TAMIL NADU
Kodungaiyur,Kodungaiyur S.O,600118,Fort - Tondiarpet,CHENNAI,TAMIL NADU
